Job Title,Salary,Experience Level
Data Architect,170955.0,SE
Data Architect,130270.0,SE
Insight Analyst,92144.0,MI
Insight Analyst,57616.0,MI
Lead Engineer,201600.0,SE
Lead Engineer,181440.0,SE
Machine Learning Engineer,296300.0,SE
Machine Learning Engineer,166600.0,SE
Machine Learning Engineer,264200.0,SE
Machine Learning Engineer,143100.0,SE
Data Architect,251600.0,SE
Data Architect,96800.0,SE
Manager,158000.0,MI
Manager,110000.0,MI
Associate,100000.0,MI
Associate,80000.0,MI
Data Engineer,215000.0,EX
Data Engineer,128500.0,EX
Business Intelligence Developer,100000.0,MI
Business Intelligence Developer,100000.0,MI
Data Scientist,293800.0,MI
Data Scientist,165500.0,MI
Data Scientist,108000.0,MI
Data Scientist,65500.0,MI
Data Scientist,271000.0,SE
Data Scientist,159000.0,SE
Data Scientist,204600.0,SE
Data Scientist,84500.0,SE
Data Scientist,312200.0,SE
Data Scientist,207800.0,SE
Product Manager,301400.0,MI
Product Manager,200400.0,MI
Data Analyst,46000.0,EN
Data Analyst,46000.0,EN
Engineering Manager,313000.0,SE
Engineering Manager,181000.0,SE
Associate,137000.0,SE
Associate,81000.0,SE
Data Analyst,90000.0,EN
Data Analyst,65000.0,EN
Data Scientist,196900.0,SE
Data Scientist,174000.0,SE
Research Scientist,251000.0,MI
Research Scientist,170200.0,MI
Software Engineer,284000.0,SE
Software Engineer,189000.0,SE
Engineer,250600.0,MI
Engineer,166600.0,MI
Research Scientist,200200.0,SE
Research Scientist,167000.0,SE
Manager,257000.0,SE
Manager,171000.0,SE
Software Engineer,158400.0,MI
Software Engineer,139577.0,MI
Software Engineer,240240.0,MI
Software Engineer,215658.0,MI
Associate,197659.0,MI
Associate,170443.0,MI
Software Engineer,208800.0,MI
Software Engineer,98300.0,MI
Software Engineer,264200.0,MI
Software Engineer,143100.0,MI
Product Manager,86100.0,MI
Product Manager,86100.0,MI
Business Analyst,207000.0,SE
Business Analyst,127000.0,SE
Manager,223000.0,SE
Manager,159000.0,SE
Full Stack Engineer,177100.0,MI
Full Stack Engineer,130900.0,MI
Engineer,187000.0,MI
Engineer,127000.0,MI
Data Scientist,167500.0,SE
Data Scientist,138500.0,SE
Data Scientist,177777.0,EN
Data Scientist,114000.0,EN
Data Scientist,257900.0,SE
Data Scientist,155200.0,SE
Data Scientist,167500.0,SE
Data Scientist,138500.0,SE
Data Engineer,281800.0,EX
Data Engineer,233100.0,EX
Data Engineer,146100.0,MI
Data Engineer,86500.0,MI
BI Analyst,124550.0,MI
BI Analyst,68900.0,MI
BI Analyst,157450.0,SE
BI Analyst,87100.0,SE
Data Analyst,164600.0,SE
Data Analyst,99200.0,SE
Data Analyst,123084.0,SE
Data Analyst,72402.0,SE
Engineer,123200.0,SE
Engineer,89600.0,SE
Engineer,123200.0,SE
Engineer,89600.0,SE
Software Engineer,333000.0,MI
Software Engineer,189000.0,MI
Software Engineer,250000.0,MI
Software Engineer,145000.0,MI
Software Engineer,180000.0,MI
Software Engineer,115000.0,MI
Engineer,163000.0,SE
Engineer,77000.0,SE
Engineer,313600.0,EX
Engineer,274800.0,EX
Engineer,313600.0,SE
Engineer,274800.0,SE
Software Development Engineer,210900.0,SE
Software Development Engineer,127000.0,SE
Product Manager,314400.0,SE
Product Manager,161600.0,SE
Engineer,230000.0,SE
Engineer,120000.0,SE
Data Engineer,231250.0,MI
Data Engineer,111000.0,MI
Data Management Specialist,116100.0,SE
Data Management Specialist,69700.0,SE
Data Management Specialist,116100.0,SE
Data Management Specialist,69700.0,SE
Manager,358000.0,SE
Manager,210000.0,SE
Data Scientist,290200.0,SE
Data Scientist,165800.0,SE
Data Scientist,153100.0,EN
Data Scientist,86200.0,EN
AI Architect,130000.0,SE
AI Architect,130000.0,SE
Manager,277000.0,SE
Manager,157500.0,SE
Site Reliability Engineer,327750.0,SE
Site Reliability Engineer,164000.0,SE
Manager,194810.0,SE
Manager,150535.0,SE
Product Manager,310500.0,MI
Product Manager,160000.0,MI
Software Engineer,171000.0,SE
Software Engineer,107000.0,SE
Security Engineer,230000.0,SE
Security Engineer,130000.0,SE
Business Intelligence Engineer,172000.0,MI
Business Intelligence Engineer,75600.0,MI
Data Scientist,130680.0,MI
Data Scientist,87120.0,MI
Data Engineer,128300.0,MI
Data Engineer,85500.0,MI
Data Engineer,247200.0,SE
Data Engineer,118450.0,SE
Data Engineer,264000.0,EX
Data Engineer,176000.0,EX
Data Engineer,172000.0,SE
Data Engineer,75600.0,SE
Data Analyst,134000.0,MI
Data Analyst,125820.0,MI
Engineer,130000.0,MI
Engineer,95000.0,MI
DevOps Engineer,172000.0,MI
DevOps Engineer,75600.0,MI
Manager,193000.0,MI
Manager,84600.0,MI
Software Engineer,284100.0,EX
Software Engineer,200700.0,EX
Full Stack Developer,154000.0,MI
Full Stack Developer,67700.0,MI
Software Engineer,186000.0,SE
Software Engineer,158000.0,SE
Software Engineer,188000.0,SE
Software Engineer,144000.0,SE
Data Analyst,202800.0,SE
Data Analyst,108200.0,SE
Data Analyst,105000.0,SE
Data Analyst,90000.0,SE
Machine Learning Engineer,297000.0,SE
Machine Learning Engineer,168300.0,SE
Machine Learning Engineer,245400.0,SE
Machine Learning Engineer,139000.0,SE
Research Scientist,247600.0,SE
Research Scientist,143300.0,SE
Applied Scientist,260000.0,SE
Applied Scientist,150400.0,SE
Software Engineer,249800.0,SE
Software Engineer,142700.0,SE
Data Scientist,175000.0,SE
Data Scientist,145000.0,SE
Data Scientist,126500.0,SE
Data Scientist,78000.0,SE
Data Scientist,180000.0,SE
Data Scientist,144000.0,SE
Data Scientist,160000.0,SE
Data Scientist,151694.0,SE
Software Engineer,257000.0,SE
Software Engineer,200000.0,SE
Solutions Architect,239000.0,SE
Solutions Architect,138200.0,SE
Backend Engineer,140000.0,SE
Backend Engineer,90000.0,SE
Software Engineer,252000.0,SE
Software Engineer,168000.0,SE
Software Engineer,252000.0,SE
Software Engineer,168000.0,SE
Software Engineer,227000.0,SE
